Project/township/building,Tenure,Type,Median price,Median PSF,Transactions,Unnamed:6
"BAYU SUTERA - PRECINT 1AJimah, Negeri Sembilan",Freehold,Terrace House,"RM538,999",RM385,13,
"P/L 3097 RESIDENSI DOUBLE 8 FASA 2Kuantan, Pahang",Freehold,Terrace House,"RM438,000",RM328,13,
"IRAMA SENDAYAN 2ALabu, Negeri Sembilan",Freehold,Terrace House,"RM400,000",RM272,13,
"BUKIT OUG TOWNHOUSEBukit Jalil, Kuala Lumpur",Freehold,Town House,"RM690,000",RM526,13,
"TAMAN SENTOSA PERDANAKlang, Selangor",Freehold,Terrace House,"RM580,000",RM412,13,
"TAMAN SERI JURUBukit Minyak, Penang",Freehold,"Terrace House, Semi D","RM500,000",RM311,13,
"TAMAN CHERAS INDAHCheras, Selangor",Leasehold,Terrace House,"RM493,000",RM517,13,
"VISION HOMESSeremban 2, Negeri Sembilan",Freehold,Cluster House,"RM480,000",RM249,13,
"KAMPUNG PANDAN DALAMAmpang, Selangor",Leasehold,Bungalow,"RM340,000",RM107,13,
"YEN YEN PARKKuching, Sarawak",Leasehold,Terrace House,"RM350,000",RM212,13,
"BANDAR TEKNOLOGIKajang, Selangor","Leasehold, Freehold",Terrace House,"RM440,000",RM323,13,
"TAMAN BAKAP INDAHSungai Bakap, Penang",Freehold,Terrace House,"RM480,000",RM304,13,
"TAMAN REDANGMasai, Johor","Freehold, Leasehold",Terrace House,"RM855,000",RM408,13,
"TAMAN FLORA HEIGHTSPasir Gudang, Johor",Freehold,Terrace House,"RM410,000",RM286,13,
"TAMAN DESA RHUSikamat, Negeri Sembilan",Leasehold,Terrace House,"RM220,000",RM169,13,
"SEKSYEN 24 SHAH ALAMShah Alam, Selangor",Leasehold,Terrace House,"RM400,000",RM338,13,
"TAMAN BATIKSungai Petani, Kedah",Freehold,"Terrace House, Semi D","RM370,000",RM138,13,
"IMPERIAL JADE RESIDENZ @ BANDAR SERI ALAMMasai, Johor",Freehold,Terrace House,"RM574,800",RM445,13,
"TAMAN NUSA INDAHIskandar Puteri (Nusajaya), Johor",Freehold,Terrace House,"RM620,000",RM422,13,
"SEKSYEN 4 BANDAR BARU BANGIBangi, Selangor",Leasehold,Terrace House,"RM535,000",RM357,13,
"TAMAN IMPIAN ALMABukit Mertajam, Penang",Freehold,"Terrace House, Semi D","RM328,000",RM295,13,
"TAMAN SERAI PERMAIBagan Serai, Perak",Leasehold,Terrace House,"RM220,000",RM153,13,
"TAMAN PAYA RUMPUT INDAHPaya Rumput, Melaka","Leasehold, Freehold",Terrace House,"RM250,000",RM189,13,
"TAMAN BUNGA RAYASetapak, Kuala Lumpur",Freehold,Terrace House,"RM520,000",RM402,13,
"TAMAN SRI BAHAGIACheras, Selangor",Freehold,Terrace House,"RM496,000",RM459,13,
"TAMAN NUSA PUTERIRompin, Pahang",Leasehold,Terrace House,"RM59,900",RM55,13,
"SEKSYEN 32, SHAH ALAMShah Alam, Selangor",Freehold,Terrace House,"RM420,000",RM307,13,
"TAMAN CEMPAKABanting, Selangor",Freehold,"Bungalow, Terrace House","RM520,000",RM242,13,
"TAMAN BAYU INDERA, LUKUTPort Dickson, Negeri Sembilan",Freehold,Terrace House,"RM320,000",RM168,13,
"TAMAN SINAR MENTARIBedong, Kedah",Freehold,Terrace House,"RM195,000",RM122,13,
"TAMAN KRUBONG PERDANAKrubong, Melaka",Freehold,Bungalow,"RM530,000",RM137,13,
"TAMAN DESA SAUJANAArau, Perlis",Freehold,Terrace House,"RM430,211",RM280,13,
"TAMAN KERIAN PERMAIParit Buntar, Perak",Freehold,Terrace House,"RM280,000",RM196,13,
"TAMAN TASIK SEMENYIHSemenyih, Selangor",Leasehold,"Semi D, Terrace House","RM400,000",RM142,13,
"WANGSA MELAWATIWangsa Maju, Kuala Lumpur",Freehold,Terrace House,"RM700,000",RM566,13,
"TAMAN IPOH SELATANIpoh, Perak",Freehold,"Bungalow, Terrace House","RM450,000",RM202,13,
"TAMAN BERTAM JAYA FASA 1Cheng, Melaka","Leasehold, Freehold",Terrace House,"RM230,000",RM157,13,
"TAMAN BUKIT MINYAK UTAMABukit Mertajam, Penang",Freehold,"Semi D, Terrace House","RM718,800",RM422,13,
"TAMAN LAGENDA MASCheras, Selangor",Freehold,"Town House, Semi D","RM435,000",RM350,13,
"TAMAN MEGAH JAYATawau, Sabah",Leasehold,"Bungalow, Terrace House","RM450,000",RM217,13,
"TAMAN GARING UTAMARawang, Selangor",Leasehold,"Terrace House, Semi D","RM370,000",RM243,13,
"TAMAN KAMPUNG MAJIDKluang, Johor",Freehold,Terrace House,"RM180,000",RM161,13,
"TAMAN KINARUT SELATANPapar, Sabah",Leasehold,Terrace House,"RM200,000",RM186,13,
"ALAM SARI BANGIBangi, Selangor",Freehold,"Semi D, Terrace House","RM745,000",RM366,13,
"TAMAN IRINGAN BAYURantau, Negeri Sembilan",Freehold,"Terrace House, Semi D","RM464,360",RM321,13,
"TAMAN BATU PAHATBatu Pahat, Johor",Freehold,Terrace House,"RM225,000",RM143,13,
"RIVERPARK RESIDENCE, KLEBANGIpoh, Perak",Leasehold,Terrace House,"RM327,500",RM213,13,
"TAMAN SRI MAWAR ISeremban, Negeri Sembilan",Freehold,Terrace House,"RM170,000",RM155,13,
"TAMAN NUSA PERINTIS IIskandar Puteri (Nusajaya), Johor",Freehold,"Bungalow, Terrace House","RM480,000",RM312,13,
"BANDAR BARU KUNDANGRawang, Selangor",Leasehold,Terrace House,"RM370,000",RM307,13,
"TAMAN CHENG PERDANACheng, Melaka",Freehold,Terrace House,"RM400,000",RM279,13,
"BUKIT ANAK DARAKijal, Terengganu",Leasehold,Terrace House,"RM250,000",RM172,13,
"PUJUT 7Miri, Sarawak",Leasehold,"Semi D, Bungalow","RM540,000",RM149,13,
"TAMAN SRI RAMPAISetapak, Kuala Lumpur",Freehold,Terrace House,"RM505,000",RM572,13,
"TAMAN PUTERI GUNUNGSimpang Ampat, Penang",Freehold,Terrace House,"RM250,000",RM220,13,
"TAMAN DAGANGAmpang, Selangor",Leasehold,Terrace House,"RM490,000",RM555,13,
"BANDAR SIERRA PUCHONGPuchong, Selangor",Leasehold,Terrace House,"RM1,000,000",RM504,13,
"SALAK SOUTH GARDENSalak Selatan, Kuala Lumpur","Leasehold, Freehold",Terrace House,"RM580,000",RM374,13,
"TAMAN PULAI FLORASkudai, Johor",Freehold,"Terrace House, Semi D","RM650,000",RM344,13,
"TAMAN GENESISKuching, Sarawak",Leasehold,Terrace House,"RM310,000",RM182,13,
"HALAMAN PENGKALAN SENTOSALahat, Perak",Leasehold,Terrace House,"RM248,880",RM165,13,
"TAYNTON VIEWCheras, Kuala Lumpur",Freehold,Terrace House,"RM620,000",RM358,13,
"TAMAN CHERAS JAYABalakong, Selangor",Leasehold,Terrace House,"RM525,000",RM259,13,
"TAMAN SRI BULOHSungai Buloh, Selangor",Freehold,Terrace House,"RM380,000",RM285,13,
"TAMAN JUMBOPenampang, Sabah",Leasehold,Terrace House,"RM320,000",RM357,13,
"TAMAN JELITA BLOK 30Miri, Sarawak",Leasehold,Terrace House,"RM160,000",RM177,13,
"PERUMAHAN PRIMA BG SERAIBagan Serai, Perak",Freehold,Terrace House,"RM279,000",RM199,13,
"TAMAN LEMBAH PERMAISungai Lalang, Kedah",Freehold,Terrace House,"RM175,000",RM96,13,
"TAMAN PENGKALAN UTAMA (AOR UTAMA)Taiping, Perak",Leasehold,Terrace House,"RM295,000",RM179,13,
"SETIA ECO CASCADIATebrau, Johor",Freehold,"Terrace House, Cluster House","RM850,000",RM441,13,
"SEKSYEN 6 - KOTA DAMANSARAKota Damansara, Selangor",Leasehold,Terrace House,"RM830,000",RM462,13,
"INDERA SEMPURNAKuantan, Pahang",Leasehold,"Semi D, Terrace House","RM230,000",RM159,13,
"TAMAN LAYANG-LAYANGSeremban, Negeri Sembilan",Freehold,"Terrace House, Semi D","RM290,000",RM163,13,
"Taman Seri JenarisSungai Petani, Kedah",Freehold,Flat,"RM110,000",RM184,13,
"Westside ThreeDesa ParkCity, Kuala Lumpur",Freehold,Condominium,"RM1,405,000",RM996,13,
"Aloha Tower CondominiumJohor Bahru, Johor",Freehold,Condominium,"RM420,000",RM231,13,
"Rumah Pangsa MenglembuMenglembu, Perak",Leasehold,Flat,"RM54,000",RM76,13,
"Krystal HeightsJelutong, Penang",Freehold,Flat,"RM200,000",RM422,13,
"The Pearl (Pearl Point)Jalan Klang Lama (Old Klang Road), Kuala Lumpur",Freehold,Condominium,"RM410,000",RM356,13,
"Sri CempakaPuchong, Selangor",Freehold,Apartment,"RM360,000",RM446,13,
"Tivoli VillasBangsar, Kuala Lumpur",Freehold,Condominium,"RM690,000",RM734,13,
"Flat Taman Bukit AngkasaKampung Kerinchi (Bangsar South), Kuala Lumpur",Leasehold,Flat,"RM230,000",RM334,13,
"Sky Peak ResidencesTampoi, Johor",Freehold,Service Residence,"RM440,000",RM397,13,
"University Apartment Phase 1Kota Kinabalu, Sabah",Leasehold,Apartment,"RM240,000",RM387,13,
"Taman Serdang PerdanaSeri Kembangan, Selangor",Leasehold,Flat,"RM112,000",RM169,13,
"Casa PrimaSeremban, Negeri Sembilan",Freehold,Apartment,"RM120,000",RM157,13,
"Desa Petaling FlatDesa Petaling, Kuala Lumpur",Leasehold,Flat,"RM140,000",RM253,13,
"Ilham ApartmentShah Alam, Selangor",Freehold,Apartment,"RM285,000",RM350,13,
"Taman MewahButterworth, Penang",Freehold,Apartment,"RM165,000",RM217,13,
"1MediniIskandar Puteri (Nusajaya), Johor",Freehold,Condominium,"RM470,000",RM381,13,
"1BorneoKota Kinabalu, Sabah",Leasehold,Condominium,"RM300,000",RM333,13,
"Lake View SuitesTebrau, Johor",Freehold,Apartment,"RM255,000",RM339,13,
"Taman Setia BalakongBalakong, Selangor",Leasehold,"Flat, Apartment","RM160,000",RM207,13,
"Pangsapuri Persiaran TanjungTampoi, Johor",Leasehold,Apartment,"RM298,000",RM279,13,
"Parkhill ResidenceBukit Jalil, Kuala Lumpur",Leasehold,Condominium,"RM600,000",RM524,13,
"Golden VillaKlang, Selangor",Freehold,Apartment,"RM200,000",RM192,13,
"Taman Seruling EmasSungai Jawi, Penang",Freehold,Flat,"RM75,000",RM137,13,
"MaissonAra Damansara, Selangor",Freehold,Service Residence,"RM499,000",RM647,13,
"Casa LagoMelaka City, Melaka",Leasehold,Condominium,"RM200,000",RM243,13,
"Mont Kiara PelangiMont Kiara, Kuala Lumpur",Freehold,Condominium,"RM740,000",RM562,13,
"Impian MeridianSubang Jaya, Selangor",Freehold,Service Residence,"RM500,000",RM500,13,
"Lily & Jasmine ApartmentTampoi, Johor",Leasehold,Apartment,"RM270,000",RM270,13,
"Desa Permai Indah ApartmentSungai Dua, Penang",Leasehold,Apartment,"RM380,000",RM401,13,
"Delima J ApartmentDesa Pandan, Kuala Lumpur",Leasehold,Apartment,"RM360,000",RM376,13,
"BalauMasai, Johor",Freehold,Flat,"RM125,000",RM198,13,
"Desa Bayan ApartmentBayan Lepas, Penang",Freehold,Apartment,"RM330,000",RM465,13,
"Menara OrkidSentul, Kuala Lumpur",Leasehold,Apartment,"RM290,000",RM341,13,
"Pangsapuri Sri PinangButterworth, Penang",Freehold,Apartment,"RM160,000",RM241,13,
"Imperial ResidencesSungai Ara, Penang",Freehold,Condominium,"RM600,000",RM518,13,
"Riana Green EastWangsa Maju, Kuala Lumpur",Leasehold,Condominium,"RM680,000",RM419,13,
"Ferringhi ResidenceBatu Ferringhi, Penang",Freehold,Condominium,"RM857,727",RM572,13,
"Astana Alam Apartment 3Bandar Puncak Alam, Selangor",Leasehold,Apartment,"RM170,000",RM251,13,
"Bam VillaCheras, Kuala Lumpur",Leasehold,Condominium,"RM350,000",RM326,13,
"Prisma CherasCheras, Kuala Lumpur",Freehold,Condominium,"RM290,000",RM359,13,
"Pusat Bandar PuchongPuchong, Selangor",Freehold,Flat,"RM205,000",RM261,13,
"Seri Maju & Sepangar RiaKota Kinabalu, Sabah",Leasehold,Apartment,"RM170,000",RM277,13,
"Vista LavenderBandar Kinrara, Selangor",Leasehold,Apartment,"RM240,000",RM275,13,
"Mak MandinButterworth, Penang",Leasehold,Flat,"RM70,000",RM116,13,
"Savanna CondominiumBukit Jalil, Kuala Lumpur",Freehold,Condominium,"RM580,000",RM477,13,
"Subang Perdana Goodyear Court 8Subang Jaya, Selangor",Freehold,Apartment,"RM338,000",RM393,13,
"Li VillasPetaling Jaya, Selangor",Freehold,Condominium,"RM850,000",RM612,13,
"Sun-U ResidenceBandar Sunway, Selangor",Leasehold,Condominium,"RM750,000",RM516,13,
"Sky Oasis Residence (Pangsapuri Oasis 1)Johor Bahru, Johor",Freehold,Service Residence,"RM400,000",RM442,13,
"Villa EmasBayan Lepas, Penang",Leasehold,Condominium,"RM500,000",RM603,13,
"Scenaria @ North Kiara HillsSegambut, Kuala Lumpur",Freehold,Condominium,"RM680,000",RM580,13,
"Subang Perdana Goodyear Court 7Subang Jaya, Selangor",Freehold,Apartment,"RM375,000",RM397,13,
"Sri Impian ApartmentJohor Bahru, Johor",Leasehold,Apartment,"RM260,000",RM271,13,
"D'aman CrimsonAra Damansara, Selangor",Freehold,Condominium,"RM370,000",RM424,13,
"Vista MinintodPenampang, Sabah",Leasehold,Apartment,"RM235,000",RM306,13,
"Taman KetiauPenampang, Sabah",Leasehold,Flat,"RM190,000",RM276,13,
"Taman BaganButterworth, Penang",Freehold,Flat,"RM110,000",RM213,13,
"Kelana PuteriKelana Jaya, Selangor",Leasehold,Condominium,"RM390,000",RM341,13,
"Pangsapuri CemaraCheras, Kuala Lumpur",Leasehold,Apartment,"RM320,000",RM437,13,
"Petaling Indah CondominiumsSri Petaling, Kuala Lumpur",Leasehold,Condominium,"RM275,000",RM290,13,
"Putatan Platinum ApartmentPenampang, Sabah",Freehold,Apartment,"RM300,000",RM353,13,
"KL Traders SquareSetapak, Kuala Lumpur",Freehold,Service Residence,"RM490,000",RM561,13,
"MidfieldsSungai Besi, Kuala Lumpur",Leasehold,Condominium,"RM435,000",RM371,13,
"SEKSYEN 17 SHAH ALAMShah Alam, Selangor",Leasehold,Cluster House,"RM410,000",RM289,12,
"TAMAN PERWIRASimpang Ampat, Penang",Freehold,"Terrace House, Semi D","RM292,000",RM209,12,
"TAMAN AMAN JAYALahad Datu, Sabah",Leasehold,"Terrace House, Semi D","RM395,000",RM155,12,
"TAMAN BANDAR UNIVERSITI PARIT RAJABatu Pahat, Johor",Freehold,Terrace House,"RM326,970",RM212,12,
"TAMAN LAVENDER HEIGHTSSenawang, Negeri Sembilan",Freehold,"Bungalow, Terrace House","RM455,000",RM207,12,
"GARDEN HOMES @ SEREMBAN 2Seremban 2, Negeri Sembilan",Freehold,Terrace House,"RM327,500",RM193,12,
"THE MULIA RESIDENCES CYBERJAYACyberjaya, Selangor",Freehold,Terrace House,"RM1,077,500",RM668,12,
"TAMAN YPJ PUNGGAIPengerang, Johor","Freehold, Leasehold",Terrace House,"RM278,800",RM199,12,
"PERUMAHAN RANTAU PETRONASKerteh, Terengganu",Leasehold,"Terrace House, Semi D","RM180,000",RM104,12,
"TAMAN JENAHAKPort Dickson, Negeri Sembilan",Freehold,Terrace House,"RM319,000",RM185,12,
"TAMAN KASTURI JAYASitiawan, Perak",Freehold,Terrace House,"RM398,800",RM249,12,
"TAMAN ANJUNG SUNGAI PETAISungei Petai, Melaka",Freehold,"Semi D, Terrace House","RM308,700",RM165,12,
"TAMAN AKASIA (ACACIA HEIGHTS)Kluang, Johor",Freehold,"Semi D, Cluster House","RM563,888",RM209,12,
"TAMAN JIMAH JAYAJimah, Negeri Sembilan",Leasehold,Terrace House,"RM89,500",RM72,12,
"SUNWAY CITYTambun, Perak",Leasehold,"Semi D, Town House, Bungalow","RM573,444",RM278,12,
"SANCTUARY GARDENBukit Mertajam, Penang",Freehold,Semi D,"RM856,500",RM214,12,
"TAMAN BIDARASelayang, Selangor",Leasehold,Terrace House,"RM517,500",RM430,12,
"SHAHZANKuantan, Pahang",Freehold,Terrace House,"RM280,000",RM194,12,
"TAMAN PULAI EMASKulai, Johor",Leasehold,Terrace House,"RM375,000",RM305,12,
"TAMAN INTAN DUYUNGPort Dickson, Negeri Sembilan",Leasehold,Terrace House,"RM200,000",RM139,12,
"TAMAN BUKIT PERMATASelayang, Selangor",Freehold,Terrace House,"RM757,500",RM523,12,
"TAMAN SRI DAGANG 2Tanjong Duabelas, Selangor",Leasehold,"Semi D, Terrace House","RM395,556",RM218,12,
"KAJANG PRIMAKajang, Selangor",Freehold,Terrace House,"RM517,500",RM320,12,
"TAMAN DATO DEMANGSeri Kembangan, Selangor",Leasehold,Terrace House,"RM680,000",RM361,12,
"PRESTIGE IIIBalik Pulau, Penang",Freehold,"Semi D, Terrace House","RM600,000",RM366,12,
"TAMAN FLORABatu Pahat, Johor",Freehold,Terrace House,"RM500,000",RM296,12,
"TAMAN DAMAI UTAMAPuchong, Selangor",Leasehold,Terrace House,"RM1,039,990",RM613,12,
"TAMAN SERI BAYU 2Sungai Petani, Kedah",Freehold,Terrace House,"RM220,000",RM169,12,
"TAMAN MERAK JAYASimpang Ampat, Penang",Freehold,Terrace House,"RM290,000",RM226,12,
"TAMAN BUKIT PERDANATelok Kemang, Negeri Sembilan",Freehold,Terrace House,"RM182,500",RM140,12,
"TAMAN DESARIANilai, Negeri Sembilan",Freehold,Terrace House,"RM250,000",RM181,12,
"BUKIT LENANG RESORT HOMESMasai, Johor",Freehold,"Semi D, Bungalow","RM2,382,000",RM437,12,
"TAMAN PURA KENCANA - TR. 41Batu Pahat, Johor",Freehold,"Terrace House, Semi D","RM415,000",RM237,12,
"TAMAN BACANG BARUBachang, Melaka",Leasehold,Terrace House,"RM296,250",RM198,12,
"SAUJANA PERDANAIjok, Selangor",Leasehold,Terrace House,"RM515,000",RM368,12,
"TAMAN SAGAAmpang, Selangor",Leasehold,Town House,"RM374,000",RM437,12,
"TAMAN SELATANKlang, Selangor",Freehold,"Terrace House, Bungalow","RM589,000",RM321,12,
"KUALA BESUTBesut, Terengganu",Freehold,"Terrace House, Semi D, Bungalow","RM325,000",RM72,12,
"MEDAN BEMBAN MESRABatu Gajah, Perak",Leasehold,Terrace House,"RM230,000",RM156,12,
"MINDEN HEIGHTSGelugor, Penang",Freehold,"Bungalow, Semi D","RM1,943,333",RM455,12,
"TAMAN LINTANGSungai Siput, Perak",Leasehold,Terrace House,"RM122,500",RM108,12,
"USJ HEIGHTSSubang Jaya, Selangor",Freehold,Terrace House,"RM1,740,000",RM722,12,
"TAMAN SPPKIpoh, Perak",Leasehold,"Terrace House, Semi D","RM227,500",RM115,12,
"AUSTIN BOULEVARDTebrau, Johor",Freehold,Terrace House,"RM560,000",RM469,12,
"TAMAN KINABUTAN RIATawau, Sabah",Leasehold,Cluster House,"RM220,000",RM126,12,
"TAMAN BAHAUBahau, Negeri Sembilan",Freehold,Terrace House,"RM172,500",RM142,12,
"TAMAN MAS KAR KING (FALIM)Ipoh, Perak",Leasehold,Terrace House,"RM286,500",RM218,12,
"PERUMAHAN PASDECKuantan, Pahang",Leasehold,Terrace House,"RM230,000",RM174,12,
"TAMAN SERENDAH MAKMURSerendah, Selangor",Leasehold,Terrace House,"RM300,000",RM303,12,
"TAMAN SRI PUTRARawang, Selangor",Freehold,"Semi D, Terrace House","RM545,000",RM338,12,
"TAMAN BERSATUSungai Petani, Kedah",Freehold,Terrace House,"RM220,000",RM119,12,
"TAMAN BUKIT CHEDANGSeremban, Negeri Sembilan",Freehold,Terrace House,"RM450,000",RM217,12,
"TAMAN MALURICheras, Kuala Lumpur",Leasehold,Terrace House,"RM832,500",RM422,12,
"TAMAN SETAPAK (SETAPAK GARDEN)Setapak, Kuala Lumpur",Freehold,Terrace House,"RM618,000",RM365,12,
"TAMAN LEMBAH MERBOKMerbok, Kedah",Freehold,Terrace House,"RM184,000",RM140,12,
"TAMAN TELUK GEDUNG INDAHKlang, Selangor",Leasehold,Terrace House,"RM335,000",RM304,12,
"TAMAN SRI SERDANGKepala Batas, Penang","Freehold, Leasehold","Terrace House, Town House","RM367,500",RM229,12,
"TAMAN CHENG SETIACheng, Melaka",Freehold,"Terrace House, Semi D","RM467,500",RM298,12,
"TAMAN AMAN PUTRISungai Buloh, Selangor",Freehold,Terrace House,"RM600,000",RM364,12,
"LAMAN RIMBUNANJinjang, Kuala Lumpur",Leasehold,"Terrace House, Semi D","RM1,669,000",RM840,12,
"TAMAN APAS PERMAITawau, Sabah",Leasehold,Terrace House,"RM193,390",RM118,12,
"TAMAN GOLDEN DRAGONKampar, Perak",Freehold,Semi D,"RM519,400",RM188,12,
"PUTRA (SRI MAHKOTA)Kuantan, Pahang",Freehold,Terrace House,"RM159,000",RM150,12,
"TAMAN BISTARI JAYASungai Lalang, Kedah",Freehold,Terrace House,"RM190,000",RM156,12,
"BANGSAR PARKBangsar, Kuala Lumpur",Freehold,"Bungalow, Terrace House","RM1,494,500",RM675,12,
"BANDAR AMANJAYA (ZON MELOR)Sungai Petani, Kedah",Freehold,"Terrace House, Semi D","RM362,500",RM130,12,
"BUNGA RAYABukit Baru, Melaka","Leasehold, Freehold",Terrace House,"RM245,000",RM154,12,
"KAMPONG SELAYANG BARUSelayang, Selangor",Leasehold,Bungalow,"RM512,500",RM138,12,
"TAMAN GADONG PERDANABertam, Melaka","Leasehold, Freehold",Terrace House,"RM290,000",RM169,12,
"TAMAN BUNGA RAYASungai Petani, Kedah",Freehold,Terrace House,"RM235,000",RM91,12,
"TAMAN KLUANG INDAHKluang, Johor",Freehold,"Terrace House, Semi D","RM350,000",RM187,12,
"TAMAN TANJUNG MINYAK (TANJUNG MINYAK)Tanjong Minyak, Melaka","Leasehold, Freehold",Terrace House,"RM235,000",RM185,12,
"TAMAN SUKMAKuching, Sarawak",Leasehold,"Bungalow, Semi D","RM270,000",RM107,12,
"M RESIDENCE 2Rawang, Selangor","Leasehold, Freehold","Terrace House, Semi D","RM486,500",RM359,12,
"TAMAN KOTA KENARIKulim, Kedah",Freehold,Terrace House,"RM295,000",RM212,12,
"PUTRAJAYA PRESINT 14Putrajaya, Putrajaya",Freehold,Terrace House,"RM1,490,900",RM555,12,
"TAMAN KULIM UTAMAKulim, Kedah",Freehold,"Semi D, Terrace House","RM420,000",RM188,12,
"TAMAN AMPANGANParoi, Negeri Sembilan",Freehold,Terrace House,"RM220,000",RM159,12,
"TAMAN KAJANG EASTSemenyih, Selangor",Freehold,Terrace House,"RM797,500",RM434,12,
"TAMAN BEMBAN RAYABatu Gajah, Perak",Leasehold,Terrace House,"RM180,000",RM149,12,
"TAMAN SAUJANA RAWANGRawang, Selangor",Leasehold,Terrace House,"RM492,500",RM304,12,
"BALOK JAYA IISungai Karang, Pahang",Freehold,Terrace House,"RM217,500",RM179,12,
"TAMAN KEBAYA (RUMAH AWAM PAYA DATOK F2 & 3)Alor Gajah, Melaka",Leasehold,Terrace House,"RM150,000",RM132,12,
"SETIA INDAH 13Setia Alam, Selangor",Freehold,Terrace House,"RM790,000",RM550,12,
"TAMAN PEKATRA INDAHSimpang Ampat, Penang",Leasehold,Terrace House,"RM282,500",RM196,12,
"TAMAN NAGASARIPerai, Penang",Freehold,Terrace House,"RM255,000",RM274,12,
"TAMAN MUTIARA MASSkudai, Johor","Leasehold, Freehold",Cluster House,"RM800,000",RM378,12,
"TAMAN MESRA RAIASimpang Pulai, Perak",Leasehold,Terrace House,"RM200,000",RM127,12,
"TAMAN BUKIT RAMBAI (FASA 1-2)Bukit Rambai, Melaka",Freehold,Terrace House,"RM195,000",RM124,12,
"TAMAN JAYAKapar, Selangor",Freehold,Terrace House,"RM332,500",RM214,12,
"TAMAN DESA SERAYAAlor Setar, Kedah",Freehold,Terrace House,"RM645,000",RM290,12,
"TAMAN MUHIBBAHBanting, Selangor",Freehold,Terrace House,"RM429,000",RM291,12,
"TAMAN BUKIT MINYAKBukit Minyak, Penang",Freehold,"Semi D, Terrace House","RM400,000",RM225,12,
"BANDAR TROPICANA AMANTanjong Duabelas, Selangor",Leasehold,"Terrace House, Semi D","RM1,557,500",RM470,12,
"TAMAN MERBOKBukit Baru, Melaka",Freehold,Terrace House,"RM434,700",RM261,12,
"SRI AWANASkudai, Johor",Freehold,Town House,"RM300,000",RM274,12,
"Sunway Geo ResidenceBandar Sunway, Selangor",Leasehold,Service Residence,"RM1,225,000",RM978,12,
"Sinar Bukit DumbarJelutong, Penang",Freehold,Apartment,"RM300,000",RM429,12,
"Taman Desa IlmuKota Samarahan, Sarawak",Leasehold,Apartment,"RM160,000",RM235,12,
"Seri Austin Residence (Pangsapuri Seri Austin)Tebrau, Johor",Freehold,Apartment,"RM360,000",RM436,12,
"Bayu Puteri 2Johor Bahru, Johor",Leasehold,Apartment,"RM305,000",RM337,12,
"Sunway Lagoon View Resort CondominiumBandar Sunway, Selangor",Leasehold,Condominium,"RM760,000",RM542,12,
"Serina BayJelutong, Penang",Leasehold,Condominium,"RM395,000",RM564,12,
"Pangsapuri PalmaKlang, Selangor",Freehold,Apartment,"RM190,000",RM289,12,
"Delima ImpianBukit Minyak, Penang",Freehold,Flat,"RM150,000",RM232,12,
"Seri Tanjung ApartmentSerendah, Selangor",Freehold,Apartment,"RM93,500",RM120,12,
"Salak South GardenSalak Selatan, Kuala Lumpur",Freehold,Flat,"RM145,000",RM225,12,
"MelorSerendah, Selangor",Freehold,Apartment,"RM70,000",RM94,12,
"Faber RiaTaman Desa, Kuala Lumpur",Freehold,Condominium,"RM429,000",RM426,12,
"Sri Putramas III / Royal RegentJalan Kuching, Kuala Lumpur",Freehold,Condominium,"RM669,000",RM433,12,
"Sri Angkasa ApartmentKlang, Selangor",Freehold,Flat,"RM155,000",RM236,12,
"Mont Kiara BayuMont Kiara, Kuala Lumpur",Freehold,Condominium,"RM616,500",RM571,12,
"CascadesKota Damansara, Selangor",Leasehold,Condominium,"RM420,000",RM700,12,
"Andaman QuaysideTanjong Tokong, Penang",Freehold,Condominium,"RM1,444,000","RM1,125",12,
"Pangsapuri Sri CempakaKajang, Selangor",Freehold,Apartment,"RM270,000",RM279,12,
"Cheras UtamaCheras, Selangor",Leasehold,Apartment,"RM212,500",RM301,12,
"Solaris DutamasDutamas, Kuala Lumpur",Freehold,Service Residence,"RM805,000",RM795,12,
"DamianaUlu Bernam, Perak",Freehold,Apartment,"RM150,000",RM211,12,
"Kota Laksamana UtamaMelaka City, Melaka",Leasehold,Apartment,"RM116,500",RM148,12,
"The Westside OneDesa ParkCity, Kuala Lumpur",Freehold,Condominium,"RM1,220,000",RM786,12,
"Damansara ForestaBandar Sri Damansara, Selangor",Freehold,Condominium,"RM720,000",RM484,12,
"Kampus West CityKampar, Perak",Leasehold,Condominium,"RM200,000",RM282,12,
"Vista KiaraMont Kiara, Kuala Lumpur",Freehold,Condominium,"RM600,000",RM464,12,
"Dataran OtomobilShah Alam, Selangor",Leasehold,Flat,"RM262,500",RM323,12,
"Suasana Sentral LoftKL Sentral, Kuala Lumpur",Freehold,Condominium,"RM1,072,500",RM766,12,
"Palm Court CondominiumBrickfields, Kuala Lumpur",Leasehold,Condominium,"RM400,000",RM414,12,
"Sierra EastRelau, Penang",Freehold,Condominium,"RM567,500",RM444,12,
"Putra Suria ResidenceCheras, Kuala Lumpur",Leasehold,Apartment,"RM335,000",RM439,12,
"Desaria Sri MerpatiSungai Ara, Penang",Freehold,Flat,"RM182,500",RM341,12,
"Corus Paradise ResortPort Dickson, Negeri Sembilan",Leasehold,Condominium,"RM149,000",RM186,12,
"Pearl AvenueKajang, Selangor",Freehold,Condominium,"RM330,000",RM301,12,
"Cyberia Smart HomesCyberjaya, Selangor",Freehold,Condominium,"RM248,150",RM229,12,
