Project/township/building,Tenure,Type,Median price,Median PSF,Transactions,Unnamed:6
"Mutiara CondominiumBukit Mertajam, Penang",Freehold,Condominium,"RM250,000",RM324,26,
"AkasiaKlang, Selangor",Freehold,Apartment,"RM267,500",RM355,26,
"Selesa Hillhomes ResortBentong, Pahang",Freehold,Apartment,"RM215,000",RM230,26,
"Desa GreenTaman Desa, Kuala Lumpur",Freehold,Service Residence,"RM495,000",RM592,26,
"Sri AkasiaTampoi, Johor",Leasehold,Apartment,"RM365,000",RM345,26,
"Suria StonorKLCC, Kuala Lumpur",Freehold,Service Residence,"RM1,831,500","RM1,578",26,
"SS1 PETALING JAYAPetaling Jaya, Selangor",Freehold,"Semi D, Bungalow","RM1,800,000",RM314,25,
"PRIMA PAHANG KAMPUNG BATU 6, LEPARKuantan, Pahang",Leasehold,Semi D,"RM152,660",RM51,25,
"BERTAM PERDANA 2 - LAKEVIEWKepala Batas, Penang",Freehold,"Cluster House, Terrace House","RM348,880",RM227,25,
"BANDAR JASIN BISTARIBemban, Melaka",Leasehold,Terrace House,"RM230,435",RM150,25,
"DESA SETAPAKWangsa Maju, Kuala Lumpur",Freehold,Terrace House,"RM400,000",RM650,25,
"BANDAR UTAMASungai Petani, Kedah",Freehold,Terrace House,"RM240,000",RM154,25,
"TAMAN SRI ORKIDSkudai, Johor",Leasehold,Terrace House,"RM620,000",RM405,25,
"TAMAN METRO MAYA, BATU GAJAH""Batu Gajah, Perak",Leasehold,Semi D,"RM365,760",RM131,25,
"TAMAN MUNSYI IBRAHIMTampoi, Johor",Freehold,Terrace House,"RM400,000",RM310,25,
"TAMAN SERI JAROMASJenjarom, Selangor",Freehold,"Semi D, Terrace House, Bungalow","RM650,000",RM352,25,
"Permata ApartmentBukit Mertajam, Penang",Freehold,Apartment,"RM170,000",RM272,25,
"Vista Seri AlamMasai, Johor",Freehold,Apartment,"RM270,000",RM299,25,
"Pangsapuri Lagoon PerdanaBandar Sunway, Selangor",Leasehold,Apartment,"RM210,000",RM227,25,
"Angkasa ApartmentKota Kinabalu, Sabah",Leasehold,Apartment,"RM290,000",RM341,25,
"Cyber City Apartment 1Penampang, Sabah",Freehold,Apartment,"RM210,000",RM440,25,
"Taman CempakaTampoi, Johor",Leasehold,Flat,"RM130,000",RM210,25,
"TrefoilSetia Alam, Selangor",Freehold,Service Residence,"RM270,000",RM548,25,
"TAMAN TUNKU SARINAJitra, Kedah",Freehold,"Bungalow, Terrace House","RM362,500",RM184,24,
"SS14Subang Jaya, Selangor",Freehold,Terrace House,"RM714,000",RM374,24,
"TAMAN LANGAT UTAMA 2Tanjong Duabelas, Selangor",Leasehold,Terrace House,"RM499,000",RM357,24,
"TAMAN NUSARI BAYU 1Bandar Sri Sendayan, Negeri Sembilan",Freehold,Terrace House,"RM280,000",RM182,24,
"TAMAN KOTA SUNGAI RAMBAISungai Rambai, Melaka",Freehold,Terrace House,"RM259,200",RM159,24,
"IDAMAN GRAND RESIDENCE/SENTOSA IDAMANKlang, Selangor",Freehold,"Town House, Terrace House","RM490,000",RM406,24,
"TAMAN PERMAI UTAMAGurun, Kedah",Freehold,"Semi D, Terrace House","RM242,500",RM151,24,
"TAMAN IMPIANA ADRILLahat, Perak",Leasehold,Terrace House,"RM250,000",RM178,24,
"TAMAN PANDAN PERDANAAmpang, Selangor",Leasehold,Terrace House,"RM765,000",RM524,24,
"TAMAN METRO PENGKALANBatu Gajah, Perak",Leasehold,Terrace House,"RM285,000",RM191,24,
"RPR BANDAR BARU SAMARIANGKuching, Sarawak",Leasehold,Terrace House,"RM190,000",RM174,24,
"OFF JALAN MERUKlang, Selangor",Freehold,"Semi D, Terrace House","RM525,000",RM257,24,
"TAMAN SELAYANG JAYASelayang, Selangor",Freehold,Terrace House,"RM500,000",RM557,24,
"SEKSYEN 5Petaling Jaya, Selangor","Freehold, Leasehold","Terrace House, Semi D, Bungalow","RM1,862,500",RM352,24,
"HIJAUAN HILLSungai Bakap, Penang",Freehold,"Cluster House, Terrace House","RM590,000",RM263,24,
"KAMPUNG BARU KERTIHKerteh, Terengganu","Leasehold, Freehold","Terrace House, Semi D","RM357,500",RM116,24,
"TAMAN BUKIT MEWAHKajang, Selangor",Freehold,Terrace House,"RM497,000",RM321,24,
"TAMAN MEWAH JAYAKlang, Selangor",Freehold,Terrace House,"RM405,000",RM340,24,
"USJ 4Subang Jaya, Selangor",Freehold,Terrace House,"RM835,000",RM487,24,
"LEISURE FARMGelang Patah, Johor",Freehold,"Town House, Bungalow, Semi D","RM1,140,000",RM334,24,
